,fakeID,b_specialisation_i,b_specialisation_h,b_specialisation_g,b_specialisation_f,b_specialisation_e,b_specialisation_d,b_specialisation_c,b_specialisation_b,b_specialisation_a,b_specialisation_j,q_OpeningDays,q_OpeningHours,q_2017 Average Household Size,q_2017 Total Households,q_2017 HHs: 5th Quintile (68.759 and above),q_5th Quint by Total HH,q_2017 Purchasing Power: Per Capita,q_2017 Total Population,"q_2017 Pop 15+/Edu: University, Fachhochschule",q_Uni by Total Pop,q_2017 Personal Care: Per Capita,q_2017 Medical Products: Per Capita,q_2017 Personal Effects: Per Capita,b_in_kontakt_gewesen,b_gekauft_gesamt
35,85_2379,1,0,0,1,1,0,0,0,0,1,0,0.0,2.4,37000,7318,0.197783784,22206.3,86955,4864,0.055936979000000005,556.41,310.09,226.35,1,1
36,759_9314,1,0,1,1,1,0,0,0,0,0,4,20.0,2.2,250628,51066,0.203752175,23650.67,552400,73890,0.133761767,579.2,323.96,235.72,1,0
37,740_5294,0,0,0,0,0,0,0,0,0,0,5,45.0,2.1,1000171,183098,0.18306669600000003,23599.76,2091516,314564,0.15039999699999998,592.34,324.75,233.75,1,1
38,725_5201,0,0,0,0,0,0,0,0,0,0,4,34.0,2.1,1027408,189967,0.18489928100000003,23677.97,2150320,320715,0.149147569,593.07,326.32,235.05,1,1
39,689_8320,0,0,0,0,0,0,0,0,0,1,0,0.0,2.7,19482,3921,0.201262704,19629.89,52744,1996,0.037843167000000004,498.75,290.12,201.49,1,1
40,671_4781,0,0,0,0,0,0,0,0,0,0,5,29.0,2.1,1065143,199620,0.187411456,23741.09,2238384,327710,0.146404728,593.14,326.59,236.14,0,0
41,468_3313,0,0,0,0,0,0,0,0,0,0,2,9.0,2.1,1032029,191870,0.185915318,23708.89,2163441,322381,0.149013077,593.11,326.06,235.36,1,0
42,380_4775,0,0,1,0,0,0,0,0,0,0,5,23.0,2.2,222571,45197,0.203067785,23905.88,482616,70814,0.146729491,585.54,325.16,236.99,1,0
43,318_4101,0,0,0,0,0,0,0,0,0,0,5,27.0,2.5,30368,5972,0.19665437300000002,20975.22,76305,3156,0.04136033,520.98,314.57,216.94,1,0
44,291_3828,0,0,0,1,0,0,0,0,0,1,3,9.0,2.2,3041,321,0.10555738199999999,20208.46,6633,241,0.036333484,535.97,356.05,210.67,1,1
45,234_6974,0,0,0,0,0,0,0,0,0,1,0,0.0,2.2,151095,33651,0.222714186,24663.38,335321,38679,0.11534917300000001,592.41,341.64,252.77,1,0
46,231_6877,0,0,0,0,0,0,0,0,0,1,2,10.0,2.4,121788,26161,0.214807699,22789.46,288953,21687,0.075053728,559.99,315.66,233.03,1,0
47,146_966,0,1,0,0,0,0,0,0,0,0,4,16.0,2.1,1032029,191350,0.185411456,23688.53,2161648,321702,0.148822565,593.05,326.43,235.25,0,0
48,551_7298,1,0,1,0,0,0,0,0,1,1,2,12.0,2.3,28960,5113,0.176553867,21986.72,67029,3696,0.055140312000000004,549.52,337.64,228.12,0,0
49,590_7647,0,1,0,1,0,1,0,0,0,0,4,20.0,2.1,473398,85767,0.181173136,23476.57,990276,133990,0.135305713,590.81,327.88,233.7,1,1
50,6_34,0,1,0,0,0,0,0,0,0,0,5,33.0,2.1,1068669,201365,0.188425977,23796.55,2245246,331185,0.147504995,593.77,327.42,236.83,1,0
51,479_5996,0,0,1,1,0,0,0,0,1,0,5,22.0,2.2,240150,49017,0.20410993100000002,23761.32,526424,72995,0.13866199099999998,581.6,324.78,236.52,1,1
52,441_7189,0,0,0,0,0,0,0,0,0,0,5,20.0,2.2,258235,54088,0.20945263,24383.28,565687,49667,0.087799437,592.83,336.6,247.79,1,0
53,607_7748,1,1,1,0,1,0,0,0,1,0,4,21.0,2.1,643969,117171,0.181951305,23287.98,1373951,165079,0.12014911699999999,585.32,325.52,233.34,1,0
54,1162_7737,0,0,0,0,0,0,0,0,0,0,4,25.0,2.1,1073164,201469,0.187733655,23751.14,2256245,329484,0.14603201300000002,593.13,326.84,236.33,0,0
55,73_1109,0,0,1,1,0,0,0,0,1,1,0,0.0,2.2,218761,44205,0.20206983899999997,23988.97,471459,70456,0.149442475,587.66,326.32,237.54,1,0
56,464_7345,0,0,0,0,1,0,0,0,0,0,5,20.0,2.6,18378,4400,0.23941669399999999,21911.83,47843,2120,0.044311603,533.73,303.85,225.67,1,0
57,959_6791,0,1,0,1,0,0,0,0,0,1,0,0.0,2.1,1072660,200986,0.187371581,23738.87,2254795,330100,0.146399118,593.05,326.89,236.21,0,0
58,195_6105,0,0,1,0,0,0,0,1,0,0,4,35.0,2.1,108948,17616,0.161691816,22848.55,227880,23179,0.101715815,582.23,346.35,234.69,1,1
59,100_2826,0,0,0,1,0,0,0,0,1,1,5,15.0,2.2,149803,30305,0.202299019,23850.82,327769,40896,0.124770799,584.9,325.59,237.82,1,1
60,1140_7669,1,1,1,1,0,0,0,0,0,0,4,25.0,2.1,1003904,184477,0.183759603,23649.57,2097314,316702,0.15100361699999998,592.98,325.73,234.37,1,0
61,982_6938,1,0,1,1,0,0,0,0,0,1,0,0.0,2.1,1023614,188773,0.18441815,23646.49,2144431,318488,0.148518651,592.5,325.33,234.52,1,1
62,121_1979,0,0,0,0,0,0,0,0,0,1,3,20.0,2.5,70514,15881,0.225217687,22045.87,178932,8416,0.047034627999999995,540.0,306.12,226.7,1,0
63,1190_7878,0,0,0,0,0,0,0,0,0,0,5,25.0,2.1,946385,172415,0.182182727,23654.43,1965930,302303,0.153770989,593.7,326.55,233.98,1,0
64,938_6587,1,1,1,0,0,0,0,0,1,1,4,32.0,2.1,1022965,188678,0.184442283,23653.08,2142310,318872,0.148844938,592.68,325.27,234.52,1,1
65,145_2057,0,0,1,0,0,0,0,0,0,0,0,0.0,2.1,211946,42641,0.201188038,24036.65,454573,69464,0.15281154,589.09,326.34,237.5,1,1
66,66_2164,1,0,1,1,0,0,0,0,0,1,5,39.0,2.2,140727,30891,0.219510115,24769.04,308779,36679,0.11878722300000001,595.44,344.41,253.55,1,0
67,193_2595,1,1,1,0,1,0,0,0,1,1,5,36.5,2.3,95427,18775,0.19674725199999998,22813.94,219793,15591,0.070934925,563.38,332.59,235.79,1,0
68,518_6942,0,0,0,0,0,0,0,0,0,0,5,27.0,2.2,226364,46072,0.20353059699999998,23889.35,491877,71373,0.145103349,584.9,325.33,237.09,1,1
69,158_1074,1,1,1,1,1,1,0,1,1,0,7,68.0,2.1,1070901,202249,0.188858727,23803.99,2251494,331195,0.147100103,593.72,327.38,236.96,0,0
70,874_6317,0,0,0,0,1,0,0,0,0,0,4,23.5,2.1,961199,170831,0.177726985,23278.48,2015084,292987,0.145396916,588.15,320.06,229.7,0,0
71,236_6486,1,0,1,0,0,0,0,1,1,0,5,35.0,2.2,139697,26819,0.191979785,23538.23,303265,35273,0.116310817,582.87,322.94,233.38,1,1
72,377_4703,0,0,1,1,0,0,0,0,1,0,5,20.0,2.6,14125,3035,0.214867257,21495.31,36362,1720,0.047302129000000005,532.9,302.78,222.43,1,1
73,641_8593,0,0,0,0,0,0,0,0,0,1,0,0.0,2.2,235143,50650,0.215400841,24860.98,511074,48400,0.09470252800000001,599.33,341.81,253.23,1,0
74,612_4352,0,1,1,0,1,0,0,0,0,1,1,5.0,2.1,1013486,185814,0.18334145699999999,23598.86,2122210,315656,0.148739286,592.08,324.73,233.88,1,0
75,519_6945,0,0,1,0,0,0,0,0,1,1,3,17.0,2.2,229806,46852,0.203876313,23865.72,500463,71912,0.143690942,584.21,325.44,237.1,1,0
76,327_7717,0,0,1,0,0,0,0,1,0,1,0,0.0,2.4,47315,9654,0.204036775,22405.97,111666,6473,0.05796751,557.67,311.5,228.82,0,0
77,386_4852,1,0,1,0,0,0,0,0,1,0,5,42.0,2.1,82375,11048,0.134118361,21321.6,174341,9183,0.052672635999999995,558.19,343.08,217.74,1,1
78,783_5483,0,1,1,1,1,0,1,0,0,1,0,0.0,2.1,1029162,190423,0.185027236,23667.85,2157131,319604,0.148161609,592.65,325.48,234.81,1,0
79,433_5583,0,0,0,0,0,0,0,0,0,1,0,0.0,2.2,218967,44266,0.202158316,23982.82,472055,70489,0.149323702,587.49,326.3,237.5,1,1
80,766_8971,0,0,0,0,0,0,0,0,0,1,0,0.0,2.4,63120,12388,0.19626109,22475.64,148784,10405,0.069933595,556.74,325.38,232.5,1,1
81,657_8113,0,1,1,0,0,0,0,0,1,0,4,25.0,2.1,697464,131526,0.188577475,24014.65,1439073,242704,0.168653015,597.89,330.11,237.03,1,0
82,341_5716,0,0,0,0,0,0,0,0,0,0,0,0.0,2.2,296608,64678,0.218058852,24618.96,656189,58457,0.08908561400000001,594.09,337.92,251.49,0,0
83,173_8799,0,0,0,0,0,0,0,0,0,0,5,36.0,2.4,132598,33437,0.252168208,23971.6,315510,22389,0.07096130099999999,578.21,322.26,248.06,1,0
84,120_4104,0,1,0,1,1,0,0,0,0,0,5,20.0,2.1,107344,17341,0.16154605800000002,22875.12,223709,23793,0.10635691900000001,582.63,346.35,234.3,1,1
85,397_8530,0,0,0,0,0,0,0,0,0,0,5,20.0,2.2,151506,30802,0.20330548,23853.23,332219,41308,0.12433966800000001,584.56,325.57,238.04,1,1
86,592_7572,0,0,1,1,0,0,0,0,1,0,5,21.5,2.1,72553,9956,0.137223823,21496.29,153417,8452,0.055091678,560.18,345.66,219.91,1,0
87,569_7378,0,0,0,1,0,0,0,0,0,1,4,19.0,2.1,202866,39876,0.196563249,23765.8,435695,66650,0.152973984,585.46,323.84,233.79,1,0
88,146_2425,0,0,1,0,0,0,0,0,1,1,5,24.0,2.5,55227,12650,0.22905462899999998,22464.12,137453,7449,0.05419307,546.7,310.82,231.34,0,0
89,9_198,0,1,0,1,0,0,0,0,0,1,0,0.0,2.3,27867,5042,0.18093085,21899.57,63843,3504,0.054884639000000006,552.18,326.31,224.91,1,0
90,8_353,1,1,1,0,1,0,0,0,1,1,2,5.0,2.1,84677,14097,0.166479682,22667.86,181130,18425,0.10172252,572.77,346.09,232.87,1,0
91,75_979,1,1,1,0,1,0,0,0,0,0,5,35.0,2.6,61797,14053,0.22740586100000001,21904.32,158875,7699,0.048459481,538.27,305.69,226.33,1,1
92,202_2759,0,0,0,0,0,0,0,0,0,0,5,28.0,2.2,232921,47546,0.204129297,23806.31,509085,72060,0.141548072,582.74,324.57,236.6,1,1
93,230_7182,0,0,1,0,0,0,0,0,1,0,0,0.0,2.4,34044,5931,0.17421572100000002,20760.7,82169,3884,0.047268435,529.61,318.88,215.14,1,0
94,809_5618,0,0,0,0,0,0,0,0,0,0,5,45.0,2.1,1049189,195952,0.18676520600000002,23714.36,2203949,323918,0.14697164,592.81,326.03,235.62,1,1
95,238_1647,0,1,1,0,0,0,0,0,1,1,0,0.0,2.1,1040153,194249,0.186750411,23729.75,2182611,324460,0.148656815,593.16,326.34,235.72,1,1
96,647_8035,0,0,0,0,0,0,0,0,0,0,5,33.0,2.2,227974,45849,0.201115039,23871.55,493389,71404,0.144721508,585.19,326.32,236.81,1,1
97,540_7898,0,0,0,0,0,0,0,0,0,1,0,0.0,2.2,270936,59428,0.21934331399999998,24724.36,597980,54256,0.090732132,595.4,339.04,252.54,1,0
98,1065_7321,0,1,0,0,1,0,0,0,0,0,5,25.5,2.1,1043629,194759,0.18661708300000002,23727.97,2189795,324602,0.148233967,593.18,326.29,235.71,0,0
99,641_7987,0,0,1,1,0,0,0,0,1,1,1,7.0,2.5,40125,7825,0.19501557600000002,20943.88,101345,3743,0.036933247999999995,520.13,309.73,215.65,1,0
500,48_2061,0,0,0,0,0,0,0,0,0,1,0,0.0,2.1,140104,22935,0.163699823,22757.65,296245,29768,0.10048439599999999,578.46,344.07,233.75,0,0
501,479_6438,0,0,0,0,0,0,0,0,0,1,0,0.0,2.1,684030,128948,0.18851220000000002,23745.89,1437454,219913,0.15298785199999998,592.01,323.92,234.86,0,0
502,478_5988,0,0,0,0,0,0,0,0,0,1,5,30.0,2.2,244167,48332,0.197946487,23487.23,535523,69958,0.130634912,577.64,322.26,232.97,0,0
503,477_6416,0,0,0,0,0,0,0,0,0,0,3,17.0,2.3,58348,10313,0.17674984600000002,22214.55,133509,8812,0.066003041,559.37,327.17,228.64,0,0
504,475_6407,0,1,0,0,1,0,0,0,0,1,5,29.0,2.3,84569,17126,0.20250919399999998,22824.26,197184,13779,0.069878895,561.11,331.65,236.36,0,0
505,474_6406,1,0,1,1,0,0,0,0,1,0,4,22.0,2.1,1015628,181636,0.178841072,23351.74,2132652,296666,0.139106615,588.68,322.5,231.31,0,0
506,474_3371,0,0,0,0,0,0,0,0,0,0,5,28.0,2.1,1053109,196348,0.18644603699999998,23662.32,2215915,320573,0.144668455,591.83,325.34,235.07,0,0
507,472_6356,0,1,1,0,1,0,0,0,0,0,4,21.0,2.3,40630,7031,0.173049471,21471.12,95247,5036,0.052873055999999995,541.91,331.67,222.62,0,0
508,472_5893,0,0,0,0,0,0,0,0,0,1,0,0.0,2.2,218757,44239,0.202228957,23982.62,471686,70452,0.14936207599999998,587.46,326.23,237.5,0,0
509,472_3355,0,0,0,0,0,0,0,0,0,1,0,0.0,2.1,1005878,183296,0.182224882,23535.24,2106821,312486,0.14832109599999999,591.34,324.03,233.15,0,0
510,471_3354,0,1,0,0,0,0,0,0,0,1,0,0.0,2.1,1050468,195745,0.186340755,23683.71,2207737,322980,0.146294599,592.29,325.86,235.33,0,0
511,470_7395,0,0,0,0,0,0,0,0,0,0,5,20.0,2.5,37155,7688,0.20691696899999998,21792.11,91585,3838,0.041906426000000004,538.63,308.31,222.42,0,0
512,47_777,0,0,0,0,0,0,0,0,0,0,0,0.0,2.1,80430,11150,0.138629864,21485.17,170796,9333,0.054644137,559.49,344.44,219.87,0,0
513,47_1633,0,0,0,0,0,0,0,0,0,0,0,0.0,2.2,158940,35636,0.22421039399999998,24547.78,355718,39812,0.111920116,589.55,339.23,251.63,0,0
514,47_1287,0,0,0,0,0,0,0,0,0,0,5,36.0,2.3,28114,5101,0.18143985199999998,22027.29,64471,3623,0.056195809000000006,554.53,324.67,225.99,0,0
515,469_6342,0,1,1,0,0,0,0,1,1,0,4,20.0,2.1,922614,167569,0.181624168,23495.75,1938122,271820,0.140249169,589.75,324.59,233.1,0,0
516,468_5843,1,0,0,0,1,0,0,0,0,0,5,32.0,2.2,171504,31066,0.181138632,22412.69,379665,38164,0.100520195,563.47,314.84,222.36,0,0
517,466_7357,1,0,0,0,0,0,0,0,0,0,5,42.0,2.6,80769,20528,0.254156917,23113.02,206129,11452,0.055557442,553.55,313.4,240.33,0,0
518,466_5801,1,0,1,1,1,0,0,0,0,0,5,15.0,2.1,59436,7772,0.130762501,20935.6,126644,6642,0.052446227000000005,551.96,337.64,212.59,0,0
519,465_3309,1,1,0,1,0,0,0,0,0,1,4,24.0,2.1,1021856,189406,0.185354884,23704.24,2137492,321096,0.150220913,593.33,326.74,235.25,0,0
520,463_6306,0,1,1,0,1,0,0,0,1,0,4,23.0,2.3,115644,21841,0.1888641,22353.22,268394,17786,0.066268247,558.67,326.36,231.06,0,0
521,463_3302,0,0,1,0,1,0,0,0,0,0,5,41.0,2.1,1016255,187341,0.18434448,23635.49,2128952,317850,0.14929881,592.4,325.16,234.36,0,0
522,461_3285,0,0,1,0,1,0,0,0,0,0,5,27.5,2.1,1075504,203105,0.18884634600000003,23804.41,2261155,332286,0.146954101,593.72,327.5,237.0,0,0
523,460_5755,0,0,0,0,0,0,0,0,0,0,5,32.0,2.2,230306,46773,0.20309067100000003,23884.49,500342,71939,0.143779655,584.72,325.97,237.21,0,0
524,460_3284,1,0,0,0,1,0,0,0,0,0,4,28.0,2.1,1070041,200027,0.18693395899999998,23719.79,2249028,328945,0.146260963,592.87,326.67,235.97,0,0
525,46_777,0,0,0,0,0,0,0,0,0,1,3,9.0,2.1,78131,10892,0.139406894,21534.07,165868,9150,0.055164347999999995,559.98,345.09,220.46,0,0
526,46_2562,0,0,0,0,0,0,0,0,0,0,5,20.0,2.4,98270,25082,0.255235575,24087.66,234196,16136,0.068899554,578.57,323.93,249.57,0,0
527,46_1268,0,0,0,0,0,0,0,0,0,0,4,20.0,2.4,10188,1731,0.169905771,20550.5,24546,1548,0.063065265,529.06,312.88,210.6,0,0
528,456_9316,0,0,0,0,0,0,0,0,0,0,5,38.0,2.1,102731,18970,0.18465701699999998,23767.76,216066,31368,0.145177862,589.35,325.21,231.84,0,0
529,456_5732,0,0,0,0,0,0,0,0,0,0,5,30.0,2.1,212376,42446,0.199862508,23994.04,455186,69339,0.152331135,588.67,326.56,237.05,0,0
530,456_3257,0,1,1,0,0,0,0,0,0,0,3,16.0,2.1,1037933,193117,0.18605921600000003,23703.13,2177429,322506,0.148113211,592.9,325.97,235.36,0,0
531,455_9313,0,0,0,0,0,0,0,0,0,0,5,37.0,2.3,23624,4469,0.18917202800000002,22170.56,54535,3274,0.06003484,556.04,317.74,226.0,0,0
532,452_5696,0,0,0,0,0,0,0,0,0,0,5,17.0,2.4,34520,6901,0.19991309399999999,22146.3,82527,4555,0.055194058,544.6,333.43,231.66,0,0
533,45_5006,1,0,1,1,1,0,0,0,0,0,0,0.0,2.4,37441,6178,0.16500627699999998,20845.27,89403,4479,0.05009899,527.34,330.03,217.13,0,0
534,45_2517,1,0,0,0,1,0,0,0,0,0,4,14.0,2.4,141135,35269,0.24989549,23996.53,334079,23692,0.070917358,579.22,323.66,248.41,0,0
535,45_1260,1,0,0,0,0,0,0,0,0,0,4,16.0,2.2,139328,26619,0.191052768,23241.27,306055,32408,0.105889464,577.63,319.84,230.93,0,0
536,448_7223,0,0,0,0,0,0,0,0,0,0,5,33.5,2.4,60712,13000,0.214125708,22645.59,144641,8494,0.058724705,558.97,322.22,233.9,0,0
537,445_6004,0,1,1,1,1,0,0,0,0,0,0,0.0,2.3,115007,23976,0.208474267,23014.8,269287,19251,0.071488783,563.71,330.11,238.39,0,0
538,445_5644,0,0,0,0,0,0,0,0,0,0,4,20.0,2.2,257968,51771,0.200687682,23587.33,566887,74424,0.131285424,578.79,324.71,235.08,0,0
539,444_6004,0,1,1,1,1,0,0,0,0,0,5,31.0,2.7,23936,5787,0.241769719,21301.2,64782,2797,0.043175572999999995,523.26,296.56,220.2,0,0
540,444_5617,0,0,0,0,0,0,0,0,0,1,4,16.0,2.6,50995,12779,0.250593195,22471.79,132419,9932,0.075004342,538.6,317.48,236.06,0,0
541,443_5968,0,0,0,0,1,0,0,0,0,0,4,24.5,2.4,47244,8999,0.19047921399999998,22106.11,111801,6648,0.059462796,551.56,321.16,227.24,0,0
542,443_5616,0,0,0,0,0,0,0,0,0,0,5,20.0,2.7,43135,10269,0.238066535,21532.73,115028,5881,0.051126682,522.24,306.29,224.5,0,0
543,442_5964,0,0,0,0,0,0,0,0,0,0,4,20.0,2.4,57581,13689,0.23773466899999998,24170.03,135615,8251,0.060841352,577.51,340.64,254.3,0,0
544,440_3114,0,1,0,0,0,0,0,0,0,0,3,14.0,2.1,997020,180793,0.18133337300000002,23494.64,2087438,309942,0.14847962,590.95,323.46,232.57,0,0
545,44_4999,0,0,0,0,0,0,0,0,0,0,0,0.0,2.3,159074,32952,0.20714887399999998,23437.19,364238,27353,0.075096503,574.2,336.23,244.1,0,0
546,44_1948,0,0,1,0,0,0,0,0,1,0,5,20.0,2.3,37575,5836,0.155316035,20627.03,86998,5706,0.065587715,533.23,326.21,212.25,0,0
547,44_1255,0,0,0,0,0,0,0,0,0,0,5,21.0,2.2,135966,25894,0.19044467,23107.62,300079,30648,0.102133105,575.45,318.91,229.98,0,0
548,439_5610,1,0,1,0,1,0,0,0,0,0,0,0.0,2.2,16664,2056,0.123379741,20584.3,36698,1455,0.039647937,543.43,332.28,210.78,0,0
549,437_5940,0,0,0,0,0,0,0,0,0,1,0,0.0,2.2,257944,53059,0.205699687,23986.61,561997,65247,0.116098485,589.16,335.48,244.64,0,0
550,437_5610,1,0,1,0,1,0,0,0,0,0,4,24.0,2.2,14788,1756,0.11874492800000001,20503.53,32344,1256,0.03883255,543.91,332.22,209.58,0,0
551,437_3089,1,1,0,0,1,0,0,0,0,0,4,26.0,2.1,1082583,204724,0.189106978,23801.6,2278014,332883,0.146128601,593.52,327.47,237.04,0,0
552,433_5876,0,0,0,0,0,0,0,0,0,0,4,18.0,2.3,27619,4671,0.169122705,21537.95,64390,3290,0.051094890999999996,543.34,334.45,223.39,0,0
553,432_7061,0,0,0,0,0,0,0,0,0,0,0,0.0,2.2,293884,63994,0.217752583,24633.81,649255,58011,0.089350101,594.43,338.21,251.56,0,0
554,432_3052,0,0,1,0,1,0,0,0,0,0,4,34.0,2.1,1002645,183160,0.18267682,23522.62,2104625,302109,0.143545287,590.72,322.84,232.86,0,0
555,431_5547,0,0,0,0,0,0,0,0,0,0,0,0.0,2.2,227992,46410,0.203559774,23886.82,495613,71645,0.144558355,584.77,325.58,237.17,0,0
556,431_3032,1,0,0,1,0,0,0,0,0,0,0,0.0,2.1,1026145,189941,0.18510152100000002,23672.86,2150433,320203,0.14890164,592.75,325.66,234.89,0,0
557,430_7058,0,0,0,0,0,0,0,0,0,0,0,0.0,2.4,165220,35957,0.217631037,23002.71,394767,25063,0.063488083,563.71,321.2,237.92,0,0
